# hindsight — drug-event pairs over one FAERS partition
# partition: 2025q1/0001-of-0028
# export_date: 2026-08-10
# min_count: 3
# crowding_cut: 27 distinct drugs (the 0.99 quantile of this partition)
# Read with comment='#'. Counts are distinct reports.
"drug","event","a","b","c","d","prr","chi2","signal","crowding","crowded"
"RIBOFLAVIN","Onychomycosis","6","3","4","11987","1998.5","4028.717","1","86.5","1"
"PARAGARD T 380A","Device expulsion","3","6","2","11989","1998.5","1663.611","1","3.0","0"
"ATOMOXETINE HYDROCHLORIDE","Onychomadesis","6","6","3","11985","1998.0","3355.991","1","75.0","1"
"CALCIUM ASCORBATE","Onychomadesis","6","6","3","11985","1998.0","3355.991","1","81.0","1"
"NICOTINAMIDE","Onychomycosis","7","7","3","11983","1997.667","3615.668","1","84.0","1"
"BUTRANS","Adverse reaction","6","12","2","11980","1997.0","2515.293","1","75.0","1"
"GOLD SODIUM THIOMALATE","Adverse reaction","6","12","2","11980","1997.0","2515.293","1","75.0","1"
"HERBALS","Proctitis","3","15","1","11981","1997.0","1038.576","1","92.0","1"
"HERBALS","Vaginal flatulence","3","15","1","11981","1997.0","1038.576","1","92.0","1"
"BERINERT","Blepharospasm","10","10","3","11977","1996.667","4157.833","1","75.0","1"
"CALCIUM GLUBIONATE","Onychomadesis","7","14","2","11977","1996.5","2676.243","1","78.0","1"
"DOMPERIDONE MALEATE","Onychomycosis","8","16","2","11974","1996.0","2805.464","1","81.0","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Adjustment disorder with depressed mood","4","20","1","11975","1996.0","1220.96","1","71.5","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","X-ray abnormal","4","20","1","11975","1996.0","1220.96","1","70.0","1"
"NICOTINE","Proctitis","3","16","1","11980","1891.737","983.733","1","92.0","1"
"NICOTINE","Vaginal flatulence","3","16","1","11980","1891.737","983.733","1","92.0","1"
"BOTULINUM TOXIN TYPE A","Nail disorder","8","9","3","11980","1879.686","3603.044","1","73.0","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Rheumatic fever","15","9","4","11972","1871.25","5523.709","1","73.0","1"
"CHLORHEXIDINE GLUCONATE","Onychomadesis","7","16","2","11975","1822.587","2442.803","1","77.0","1"
"ISOPROPYL ALCOHOL","Onychomadesis","7","16","2","11975","1822.587","2442.803","1","78.0","1"
"ADVATE","Haemarthrosis","3","1","5","11991","1799.4","2341.093","1","1.0","0"
"CHLORHEXIDINE GLUCONATE\ISOPROPYL ALCOHOL","X-ray abnormal","3","7","2","11988","1798.5","1496.875","1","67.0","1"
"PAROXETINE HYDROCHLORIDE","Derealisation","3","7","2","11988","1798.5","1496.875","1","14.0","0"
"PYRIDOXINE","Female genital tract fistula","3","7","2","11988","1798.5","1496.875","1","92.0","1"
"PYRIDOXINE","Radiculopathy","3","7","2","11988","1798.5","1496.875","1","92.0","1"
"BERINERT","Adverse reaction","6","14","2","11978","1797.0","2263.041","1","75.0","1"
"BUTRANS","Nail disorder","8","10","3","11979","1775.111","3402.325","1","75.0","1"
"PERIOGARD","Onychomycosis","7","9","3","11981","1747.667","3162.612","1","78.0","1"
