# hindsight — drug-event pairs over one FAERS partition
# partition: 2025q1/0001-of-0028
# export_date: 2026-08-10
# min_count: 3
# crowding_cut: 27 distinct drugs (the 0.99 quantile of this partition)
# Read with comment='#'. Counts are distinct reports.
"drug","event","a","b","c","d","prr","chi2","signal","crowding","crowded"
"MEGLUMINE","Hypoaesthesia","5","6","80","11909","68.119","252.993","1","89.0","1"
"OTEZLA","Blood cholesterol increased","6","28","31","11935","68.118","279.308","1","74.0","1"
"OTEZLA","Fibromyalgia","6","28","31","11935","68.118","279.308","1","71.5","1"
"ATOMOXETINE HYDROCHLORIDE","Drug-induced liver injury","3","9","44","11944","68.114","128.658","1","73.0","1"
"PSEUDOEPHEDRINE","Drug-induced liver injury","3","9","44","11944","68.114","128.658","1","86.0","1"
"PERIOGARD","Migraine","6","10","66","11918","68.091","306.445","1","71.5","1"
"TOPAMAX","Pericarditis","3","13","33","11951","68.091","125.801","1","77.0","1"
"TOPAMAX","Wound","3","13","33","11951","68.091","125.801","1","77.0","1"
"BUTRANS","Memory impairment","9","9","88","11894","68.08","484.345","1","77.0","1"
"NUCALA","Night sweats","7","34","30","11929","68.059","323.438","1","77.0","1"
"VUMERITY","Flushing","6","16","48","11930","68.057","296.53","1","1.0","0"
"DESOGESTREL\ETHINYL ESTRADIOL","Drug hypersensitivity","4","1","141","11854","68.057","198.297","1","74.0","1"
"DOMPERIDONE MALEATE","Neck pain","6","18","44","11932","68.045","293.407","1","75.0","1"
"ASCORBIC ACID","Hand deformity","3","21","22","11954","68.045","120.542","1","75.0","1"
"TOFACITINIB","Hand deformity","3","21","22","11954","68.045","120.542","1","70.0","1"
"ARAVA","Liver function test increased","4","28","22","11946","68.0","170.575","1","80.5","1"
"OXYCODONE","Helicobacter infection","9","96","15","11880","67.971","330.808","1","73.0","1"
"OXYCODONE","Facet joint syndrome","6","99","10","11885","67.971","207.299","1","71.5","1"
"HYDROCORTISONE","Dislocation of vertebra","3","102","5","11890","67.971","85.157","1","70.0","1"
"OXYCODONE","Swollen joint count increased","3","102","5","11890","67.971","85.157","1","73.0","1"
"RAMIPRIL","Joint range of motion decreased","9","112","13","11866","67.966","312.637","1","75.0","1"
"VITAMIN C","Rheumatoid factor positive","6","125","8","11861","67.952","189.367","1","63.0","1"
"VITAMIN C","Foot deformity","3","128","4","11865","67.952","77.759","1","46.0","1"
"VITAMIN C","Lupus-like syndrome","3","128","4","11865","67.952","77.759","1","48.0","1"
"ERELZI","Injection site reaction","6","38","24","11932","67.932","265.746","1","77.5","1"
"ERELZI","Sciatica","3","41","12","11944","67.932","109.228","1","70.0","1"
"VALSARTAN","Paraesthesia oral","3","41","12","11944","67.932","109.228","1","92.0","1"
"NAPROXEN","Coeliac disease","4","74","9","11913","67.932","139.109","1","78.5","1"
"BENLYSTA","Systemic lupus erythematosus","5","13","49","11933","67.925","242.535","1","3.0","0"
"MINOCYCLINE","Systemic lupus erythematosus","5","13","49","11933","67.925","242.535","1","78.0","1"
"CHLORHEXIDINE GLUCONATE","General physical health deterioration","9","14","69","11908","67.922","470.38","1","73.0","1"
"CANNABIS SATIVA SUBSP. INDICA TOP","Drug dependence","3","20","23","11954","67.922","120.961","1","5.0","0"
"OXYCODONE TEREPHTHALATE","Migraine","7","12","65","11916","67.909","360.458","1","75.0","1"
"APREMILAST","Drug-induced liver injury","5","16","42","11937","67.908","238.633","1","77.0","1"
"ATENOLOL","Basal cell carcinoma","3","63","8","11926","67.807","99.001","1","45.0","1"
"PSEUDOEPHEDRINE","Infusion related reaction","4","8","59","11929","67.729","188.686","1","77.0","1"
"TOPIRAMATE","Facet joint syndrome","5","75","11","11909","67.727","182.408","1","67.0","1"
"MINOCYCLINE","Hepatic enzyme increased","6","12","59","11923","67.695","301.436","1","78.5","1"
"COSENTYX","Arthropathy","15","76","29","11880","67.69","608.28","1","70.0","1"
"RITUXIMAB","Liver injury","16","216","12","11756","67.632","422.488","1","71.5","1"
"RITUXIMAB","Breast cancer stage II","4","228","3","11765","67.632","85.352","1","59.0","1"
"ARAVA","Joint swelling","15","17","83","11885","67.59","784.269","1","70.0","1"
"BUTRANS","Dyspepsia","7","11","69","11913","67.531","360.549","1","77.0","1"
"ETANERCEPT","Joint range of motion decreased","3","25","19","11953","67.511","117.293","1","48.0","1"
"RAMIPRIL","Duodenal ulcer perforation","11","110","16","11863","67.494","389.02","1","73.0","1"
"CALCIUM CARBONATE","Pulmonary fibrosis","5","63","13","11919","67.489","190.999","1","73.0","1"
"OZEMPIC","Ileus","3","56","9","11932","67.463","101.592","1","7.0","0"
"COSENTYX","Lower respiratory tract infection","17","74","33","11876","67.417","693.528","1","73.0","1"
"HYDROXYCHLOROQUINE SULFATE","Lower respiratory tract infection","11","39","39","11911","67.41","512.672","1","73.0","1"
"ACETAMINOPHEN\TRAMADOL HYDROCHLORIDE","Rheumatoid arthritis","3","3","89","11905","67.382","131.993","1","66.0","1"
"HYDROCORTISONE BUTYRATE","Rheumatoid arthritis","3","3","89","11905","67.382","131.993","1","67.0","1"
"ORENCIA","Obesity","9","135","11","11845","67.364","288.215","1","73.0","1"
"STELARA","Breast cancer stage III","7","130","9","11854","67.349","221.296","1","77.0","1"
"SIMPONI","Injection site reaction","7","47","23","11923","67.329","302.21","1","73.0","1"
"ALENDRONATE SODIUM","Lung disorder","9","38","34","11919","67.32","415.273","1","77.0","1"
"GOLD SODIUM THIOMALATE","Joint swelling","9","9","89","11893","67.315","479.271","1","73.0","1"
"TRAMADOL HYDROCHLORIDE","Blood cholesterol increased","8","41","29","11922","67.282","360.038","1","73.0","1"
"LYRICA","Breath sounds abnormal","3","73","7","11917","67.241","94.424","1","45.0","1"
"ARAVA","Alopecia","16","16","89","11879","67.236","836.85","1","71.5","1"
"TOCILIZUMAB","Type 2 diabetes mellitus","9","41","32","11918","67.219","409.195","1","70.0","1"
"CODEINE","Delirium","5","28","27","11940","67.155","222.405","1","43.0","1"
"MYRBETRIQ","Systemic lupus erythematosus","8","23","46","11923","67.147","391.131","1","77.5","1"
"CALCIUM GLUBIONATE","Dyspepsia","8","13","68","11911","67.109","411.386","1","76.0","1"
"PENTASA","Haematochezia","5","14","47","11934","67.083","238.443","1","5.0","0"
"ADALIMUMAB","Type 2 diabetes mellitus","20","148","21","11811","67.075","635.061","1","69.0","1"
"MINOCYCLINE HYDROCHLORIDE","Muscular weakness","4","7","65","11924","67.071","187.991","1","59.0","1"
"AIMOVIG","Neck pain","8","26","42","11924","67.036","384.89","1","73.0","1"
"METHOTREXATE","Peripheral venous disease","12","403","5","11580","66.998","210.088","1","71.5","1"
"CETIRIZINE","Duodenal ulcer perforation","8","67","19","11906","66.947","321.228","1","45.5","1"
"MYOCHRYSINE","Muscular weakness","5","9","64","11922","66.886","244.322","1","77.0","1"
"ACETAMINOPHEN AND CODEINE","Swelling","7","12","66","11915","66.88","355.374","1","89.0","1"
"DICLOFENAC POTASSIUM","Stomatitis","6","19","43","11932","66.837","287.197","1","57.5","1"
"ETANERCEPT","Fibromyalgia","5","23","32","11940","66.808","226.87","1","37.0","1"
"ENBREL","Lower limb fracture","3","64","8","11925","66.789","97.458","1","70.0","1"
"INFLIXIMAB","Helicobacter infection","10","117","14","11859","66.777","340.851","1","74.0","1"
"INFLIXIMAB","Live birth","10","117","14","11859","66.777","340.851","1","77.0","1"
"SULFAMETHOXAZOLE","Arthropathy","5","18","39","11938","66.761","232.499","1","48.0","1"
"ENTOCORT","Haematochezia","3","8","49","11940","66.729","126.832","1","10.0","0"
"ADALIMUMAB","Fibromyalgia","18","150","19","11813","66.722","566.386","1","68.5","1"
"HUMIRA","Ill-defined disorder","15","92","25","11868","66.69","567.781","1","70.0","1"
"HUMIRA","Adverse reaction","3","104","5","11888","66.69","83.488","1","77.0","1"
"HUMIRA","Normal newborn","3","104","5","11888","66.69","83.488","1","91.0","1"
"NUCALA","Gait inability","8","33","35","11924","66.67","370.607","1","75.0","1"
"ALENDRONIC ACID","Drug intolerance","12","16","77","11895","66.635","620.081","1","54.0","1"
"HAIR KERATIN AMINO ACIDS GOLD COMPLEX","Alopecia","5","4","100","11891","66.617","250.601","1","84.0","1"
"ACETAMINOPHEN\CODEINE PHOSPHATE","Infusion related reaction","3","6","60","11931","66.617","128.09","1","75.0","1"
"PANTOPRAZOLE SODIUM ANHYDROUS","Infusion related reaction","3","6","60","11931","66.617","128.09","1","45.0","1"
"RIBOFLAVIN","Gastrointestinal disorder","4","5","80","11911","66.617","188.971","1","85.0","1"
"CHLORHEXIDINE GLUCONATE\ISOPROPYL ALCOHOL","Musculoskeletal stiffness","3","7","54","11936","66.611","127.337","1","73.0","1"
"CALCIUM ASCORBATE","Gastrooesophageal reflux disease","4","8","60","11928","66.6","185.645","1","86.5","1"
"GOLD","Gastrooesophageal reflux disease","4","8","60","11928","66.6","185.645","1","85.0","1"
"PSEUDOEPHEDRINE","Gastrooesophageal reflux disease","4","8","60","11928","66.6","185.645","1","87.5","1"
"AIMOVIG","Dry mouth","7","27","37","11929","66.583","328.158","1","77.0","1"
"TOPAMAX","Stomatitis","4","12","45","11939","66.578","181.548","1","84.0","1"
"BUTRANS","Abdominal distension","6","12","60","11922","66.567","296.729","1","75.0","1"
"GOLD SODIUM THIOMALATE","Abdominal distension","6","12","60","11922","66.567","296.729","1","75.0","1"
"MINOCYCLINE","Injury","3","15","30","11952","66.567","121.829","1","84.0","1"
"TOFACITINIB","Impaired healing","4","20","30","11946","66.533","174.055","1","80.5","1"
"TRAMADOL HYDROCHLORIDE","Rheumatoid factor positive","3","46","11","11940","66.518","104.937","1","70.0","1"
"LEFLUNOMIDE","Pulmonary fibrosis","5","64","13","11918","66.505","188.118","1","70.0","1"
"CORTISONE ACETATE","Joint swelling","14","16","84","11886","66.5","724.839","1","71.5","1"
"HYDROXYCHLOROQUINE","Fibromyalgia","13","84","24","11879","66.469","503.337","1","73.0","1"
"LAMICTAL","Night sweats","7","35","30","11928","66.433","315.458","1","77.0","1"
"CELEBREX","Psoriatic arthropathy","10","35","40","11915","66.417","466.204","1","77.5","1"
"METHYLPREDNISOLONE SODIUM SUCCINATE","Lower respiratory tract infection","10","35","40","11915","66.417","466.204","1","72.5","1"
"METHYLPREDNISOLONE SODIUM SUCCINATE","Psoriatic arthropathy","10","35","40","11915","66.417","466.204","1","71.0","1"
"CELEBREX","Mobility decreased","9","36","36","11919","66.417","414.419","1","77.0","1"
"CELEBREX","Ill-defined disorder","8","37","32","11923","66.417","362.715","1","75.0","1"
"METHYLPREDNISOLONE SODIUM SUCCINATE","Ill-defined disorder","8","37","32","11923","66.417","362.715","1","76.0","1"
"CELEBREX","Epilepsy","7","38","28","11927","66.417","311.107","1","77.0","1"
"CELEBREX","Injection site reaction","6","39","24","11931","66.417","259.622","1","77.5","1"
"ELIGARD","Metastases to bone","3","42","12","11943","66.417","106.7","1","2.0","0"
"VEDOLIZUMAB","Anal fissure","3","131","4","11862","66.414","75.927","1","2.0","0"
"VEDOLIZUMAB","Pregnancy","3","131","4","11862","66.414","75.927","1","1.0","0"
"CHOLECALCIFEROL","Wound infection","8","122","11","11859","66.406","261.731","1","82.0","1"
"AIMOVIG","Infusion related reaction","10","24","53","11913","66.404","490.74","1","75.0","1"
"ZANTAC","Urticaria","9","4","125","11862","66.39","486.806","1","6.0","0"
"FLUCONAZOLE","Epstein-Barr virus infection","3","74","7","11916","66.362","93.142","1","8.0","0"
"LIDOCAINE","Multiple allergies","3","57","9","11931","66.333","99.825","1","35.0","1"
"LIDOCAINE","Ventricular tachycardia","3","57","9","11931","66.333","99.825","1","6.0","0"
"VENLAFAXINE","Salivary hypersecretion","3","57","9","11931","66.333","99.825","1","3.0","0"
"CIMZIA","Liver function test increased","5","38","21","11936","66.207","209.649","1","73.0","1"
"ASACOL","Wheezing","3","5","68","11924","66.132","127.931","1","48.0","1"
"ATOMOXETINE","Wheezing","3","5","68","11924","66.132","127.931","1","89.0","1"
"FLUMETHASONE","Wheezing","3","5","68","11924","66.132","127.931","1","89.0","1"
"MOXIFLOXACIN HYDROCHLORIDE","Wheezing","3","5","68","11924","66.132","127.931","1","53.0","1"
"GOLD","Drug hypersensitivity","9","3","136","11852","66.11","487.797","1","73.0","1"
"RISEDRONATE SODIUM","Night sweats","3","13","34","11950","66.088","122.278","1","67.0","1"
"TOPAMAX","Fibromyalgia","3","13","34","11950","66.088","122.278","1","77.0","1"
"TOPAMAX","Night sweats","3","13","34","11950","66.088","122.278","1","77.0","1"
"CHLORHEXIDINE GLUCONATE\ISOPROPYL ALCOHOL","Urticaria","7","3","127","11863","66.087","369.905","1","70.0","1"
"OXYCODONE","Rheumatic fever","7","98","12","11883","66.083","243.818","1","73.0","1"
"OXYCODONE","Wound infection","7","98","12","11883","66.083","243.818","1","73.0","1"
"HYDROMORPHONE HYDROCHLORIDE","Colitis","3","14","32","11951","66.083","121.627","1","92.0","1"
"ANTICOAGULANT SODIUM CITRATE","Muscle spasms","4","2","121","11873","66.083","191.148","1","1.0","0"
"MEGLUMINE","Alopecia","6","5","99","11890","66.055","306.341","1","81.0","1"
"ENTOCORT","Crohn^s disease","4","7","66","11923","66.055","185.223","1","3.5","0"
"QUETIAPINE","Neuroleptic malignant syndrome","4","99","7","11890","66.003","124.016","1","5.5","0"
"OTEZLA","Lip dry","3","31","16","11950","65.989","111.646","1","70.0","1"
"CIMZIA","Swelling","14","29","59","11898","65.983","676.505","1","72.5","1"
"KEVZARA","Type 2 diabetes mellitus","8","36","33","11923","65.873","361.878","1","71.5","1"
"ATOMOXETINE HYDROCHLORIDE","Memory impairment","6","6","91","11897","65.868","303.709","1","75.0","1"
"PHENYLEPHRINE HYDROCHLORIDE","Memory impairment","6","6","91","11897","65.868","303.709","1","80.5","1"
"CALCIUM","Autoimmune disorder","4","140","5","11851","65.867","107.909","1","59.0","1"
"CALCIUM","Exostosis","4","140","5","11851","65.867","107.909","1","47.0","1"
"MYOCHRYSINE","Joint swelling","7","7","91","11895","65.857","360.004","1","73.0","1"
"NICOTINAMIDE","Gastrointestinal disorder","6","8","78","11908","65.857","300.221","1","80.5","1"
"HAIR KERATIN AMINO ACIDS GOLD COMPLEX","Hypoaesthesia","4","5","81","11910","65.794","186.682","1","86.5","1"
"PSEUDOEPHEDRINE HYDROCHLORIDE","Gastrooesophageal reflux disease","8","18","56","11918","65.791","393.736","1","70.0","1"
"DEXTROSE","Myelosuppression","7","10","75","11908","65.789","353.733","1","5.0","0"
"ALENDRONIC ACID","Injection site reaction","4","24","26","11946","65.78","168.885","1","80.5","1"
"DOXYCYCLINE","Autoimmune hepatitis","4","62","11","11923","65.752","142.528","1","2.0","0"
"PLAQUENIL","Synovitis","5","30","26","11939","65.742","216.241","1","73.0","1"
"CALCIUM CARBONATE\CHOLECALCIFEROL","Breast cancer stage III","3","39","13","11945","65.703","107.181","1","73.0","1"
"CALCIUM CARBONATE\CHOLECALCIFEROL","Facet joint syndrome","3","39","13","11945","65.703","107.181","1","73.0","1"
"AIMOVIG","Drug intolerance","14","20","75","11891","65.696","703.181","1","70.0","1"
"CORTISONE","Synovitis","4","23","27","11946","65.695","169.515","1","72.5","1"
"HUMIRA","Irritable bowel syndrome","13","94","22","11871","65.679","481.667","1","70.0","1"
"CORTISONE ACETATE","Rheumatoid arthritis","13","17","79","11891","65.658","661.288","1","73.0","1"
"ERGOCALCIFEROL","Lower respiratory tract infection","9","31","41","11919","65.634","419.809","1","81.0","1"
"ENBREL","Liver function test increased","7","60","19","11914","65.617","280.359","1","73.0","1"
"HYDROCORTISONE","Folliculitis","11","94","19","11876","65.586","403.796","1","70.0","1"
"OMALIZUMAB","Urticaria","27","19","107","11847","65.575","1334.607","1","6.0","0"
"MAGNESIUM CITRATE","Drug-induced liver injury","4","13","43","11940","65.57","177.995","1","75.0","1"
"ACETAMINOPHEN AND CODEINE","Hypoaesthesia","8","11","77","11904","65.515","406.611","1","86.5","1"
"ATOMOXETINE HYDROCHLORIDE","Hepatic enzyme increased","4","8","61","11927","65.508","182.698","1","75.0","1"
"PSEUDOEPHEDRINE","Hepatic enzyme increased","4","8","61","11927","65.508","182.698","1","86.5","1"
"NAPROXEN","Breath sounds abnormal","3","75","7","11915","65.505","91.892","1","45.0","1"
"DICLOFENAC DIETHYLAMINE","Treatment failure","6","12","61","11921","65.475","292.163","1","68.0","1"
"GOLD SODIUM THIOMALATE","Treatment failure","6","12","61","11921","65.475","292.163","1","73.5","1"
"RAMIPRIL","Hand deformity","10","111","15","11864","65.449","343.44","1","74.0","1"
"RAMIPRIL","Obesity","8","113","12","11867","65.449","267.263","1","75.0","1"
"RAMIPRIL","Breath sounds abnormal","4","117","6","11873","65.449","115.852","1","38.5","1"
"DOMPERIDONE MALEATE","Muscular weakness","8","16","61","11915","65.443","395.81","1","68.0","1"
"INFLIXIMAB","Peripheral venous disease","7","120","10","11863","65.442","224.704","1","73.0","1"
"COSENTYX","Mobility decreased","15","76","30","11879","65.434","594.176","1","73.0","1"
"COSENTYX","C-reactive protein increased","14","77","28","11881","65.434","551.631","1","73.0","1"
"COSENTYX","Osteoarthritis","14","77","28","11881","65.434","551.631","1","66.5","1"
"COSENTYX","Injury","11","80","22","11887","65.434","424.184","1","73.0","1"
"COSENTYX","Systemic lupus erythematosus","18","73","36","11873","65.434","721.972","1","66.5","1"
"COSENTYX","Exostosis","3","88","6","11903","65.434","87.371","1","48.0","1"
"FOLIC ACID","Folliculitis","18","251","12","11719","65.414","431.798","1","70.0","1"
"NUCALA","Wheezing","13","28","58","11901","65.377","625.173","1","73.0","1"
"CANDESARTAN","Impaired healing","10","66","24","11900","65.373","404.029","1","75.0","1"
"SIMPONI","Musculoskeletal stiffness","13","41","44","11902","65.361","589.862","1","66.0","1"
"DICLOFENAC SODIUM","Stomatitis","14","59","35","11892","65.353","590.695","1","57.0","1"
"DICLOFENAC SODIUM","C-reactive protein increased","12","61","30","11897","65.353","499.646","1","70.0","1"
"DICLOFENAC SODIUM","Osteoarthritis","12","61","30","11897","65.353","499.646","1","57.0","1"
"DICLOFENAC SODIUM","Musculoskeletal pain","6","67","15","11912","65.353","227.7","1","72.0","1"
"ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE","Hand deformity","3","22","22","11953","65.318","115.533","1","70.0","1"
"LEFLUNOMIDE","Swelling","20","49","53","11878","65.25","877.671","1","70.0","1"
"LAMICTAL","Blister","11","31","48","11910","65.247","517.451","1","73.0","1"
"NICOTINE","Rectal haemorrhage","3","16","29","11952","65.232","118.911","1","92.0","1"
"OXYCODONE TEREPHTHALATE","Delirium","3","16","29","11952","65.232","118.911","1","70.0","1"
"KEVZARA","Taste disorder","6","38","25","11931","65.215","256.846","1","90.0","1"
"ALENDRONATE SODIUM","Sleep disorder","10","37","39","11914","65.21","455.081","1","74.0","1"
"TOCILIZUMAB","Ear pain","3","47","11","11939","65.182","102.749","1","48.0","1"
"AIMOVIG","Gastrooesophageal reflux disease","10","24","54","11912","65.174","482.819","1","80.5","1"
"DESOXIMETASONE","Gastrooesophageal reflux disease","10","24","54","11912","65.174","482.819","1","80.5","1"
"FLUMETHASONE","Migraine","3","5","69","11923","65.174","126.096","1","84.0","1"
"PHENYLEPHRINE HYDROCHLORIDE","Joint swelling","6","6","92","11896","65.152","300.524","1","80.5","1"
"CALCIUM ASCORBATE","Stomatitis","3","9","46","11942","65.152","123.226","1","89.0","1"
"CALCIUM GLUCONATE","Stomatitis","3","9","46","11942","65.152","123.226","1","75.0","1"
"PSEUDOEPHEDRINE","Stomatitis","3","9","46","11942","65.152","123.226","1","89.0","1"
"METHOTREXATE","Onychomycosis","7","408","3","11582","65.137","113.532","1","77.0","1"
"PERIOGARD","Neck pain","4","12","46","11938","65.13","177.794","1","75.0","1"
"PLAQUENIL","Hand deformity","4","31","21","11944","65.116","161.881","1","74.0","1"
"VOLTAREN","Mobility decreased","5","18","40","11937","65.092","227.154","1","70.0","1"
"VOLTAREN","Pericarditis","4","19","32","11945","65.092","171.447","1","59.0","1"
"ISOPROPYL ALCOHOL","Hypersensitivity","12","11","96","11881","65.092","622.885","1","74.0","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Paraesthesia","9","15","69","11907","65.087","450.117","1","73.0","1"
"HYDROCORTISONE SODIUM SUCCINATE","Wheezing","4","7","67","11922","65.069","182.532","1","69.0","1"
"NICOTINAMIDE","Hypoaesthesia","6","8","79","11907","65.024","296.586","1","86.5","1"
"ADALIMUMAB","Bursitis","12","156","13","11819","65.011","361.003","1","71.5","1"
"STELARA","Irritable bowel syndrome","15","122","20","11843","64.943","504.791","1","73.0","1"
"STELARA","Liver injury","12","125","16","11847","64.943","396.473","1","74.0","1"
"STELARA","Rheumatoid factor positive","6","131","8","11855","64.943","180.691","1","71.5","1"
"STELARA","Muscle spasticity","3","134","4","11859","64.943","74.176","1","58.0","1"
"GLUCOSAMINE","Mobility decreased","4","14","41","11941","64.943","175.469","1","78.0","1"
"MINOCYCLINE","Mobility decreased","4","14","41","11941","64.943","175.469","1","78.5","1"
"ALENDRONATE SODIUM","Blister","12","35","47","11906","64.933","554.422","1","73.0","1"
"MEGLUMINE","Drug intolerance","5","6","84","11905","64.876","241.303","1","73.0","1"
"MINOCYCLINE HYDROCHLORIDE","Drug intolerance","5","6","84","11905","64.876","241.303","1","73.0","1"
"NICOTINAMIDE","Wheezing","5","9","66","11920","64.859","237.228","1","84.0","1"
"XCOPRI","Seizure","16","20","82","11882","64.846","795.333","1","3.5","0"
"SULFASALAZINE","Mobility decreased","14","69","31","11886","64.842","564.864","1","73.0","1"
"DESOGESTREL\ETHINYL ESTRADIOL","Abdominal discomfort","3","2","111","11884","64.838","127.894","1","73.0","1"
"AIMOVIG","Mobility decreased","7","27","38","11928","64.831","320.607","1","77.0","1"
"CYCLOPHOSPHAMIDE","Immune effector cell-associated neurotoxicity syndrome","5","222","4","11769","64.829","112.32","1","8.0","0"
"APREMILAST","Sleep disorder","5","16","44","11935","64.821","228.569","1","77.0","1"
"NUCALA","Dry mouth","8","33","36","11923","64.818","361.878","1","75.0","1"
"ALENDRONIC ACID","Abdominal discomfort","15","13","99","11873","64.784","770.783","1","66.0","1"
"ENBREL","Mobility decreased","12","55","33","11900","64.765","508.353","1","74.0","1"
"TOFACITINIB CITRATE","Oedema","4","16","37","11943","64.757","173.216","1","64.5","1"
"HYDROCORTISONE","Sleep disorder due to general medical condition, insomnia type","4","101","7","11888","64.735","121.543","1","59.0","1"
"OXYCODONE","Nail disorder","4","101","7","11888","64.735","121.543","1","78.5","1"
"OXYCODONE","Sleep disorder due to general medical condition, insomnia type","4","101","7","11888","64.735","121.543","1","57.5","1"
"HUMAN IMMUNOGLOBULIN G","Multiple allergies","4","88","8","11900","64.717","127.347","1","26.5","0"
"VITAMIN C","Live birth","10","121","14","11855","64.716","329.983","1","80.5","1"
"VITAMIN C","Pemphigus","10","121","14","11855","64.716","329.983","1","71.5","1"
"ERELZI","Liver function test increased","5","39","21","11935","64.697","204.7","1","77.0","1"
"HAIR KERATIN AMINO ACIDS GOLD COMPLEX","Hypersensitivity","5","4","103","11888","64.676","243.453","1","84.0","1"
"NAPROXEN","Blood cholesterol increased","11","67","26","11896","64.666","441.886","1","73.0","1"
"APREMILAST","Blister","6","15","53","11926","64.577","283.972","1","75.0","1"
"RITUXIMAB","Bursitis","14","218","11","11757","64.558","358.21","1","68.5","1"
"OXYCODONE HYDROCHLORIDE","Peripheral venous disease","5","72","12","11911","64.518","178.141","1","73.0","1"
"CALCIUM CITRATE","Blood cholesterol increased","5","24","32","11939","64.499","218.759","1","73.0","1"
"DICLOFENAC POTASSIUM","Inflammation","7","18","52","11923","64.481","333.181","1","70.0","1"
"PSEUDOEPHEDRINE HYDROCHLORIDE","Musculoskeletal stiffness","7","19","50","11924","64.475","331.518","1","73.0","1"
"CALCIUM ASCORBATE","Abdominal distension","4","8","62","11926","64.452","179.84","1","80.5","1"
"GOLD","Abdominal distension","4","8","62","11926","64.452","179.84","1","78.5","1"
"CELECOXIB","Duodenal ulcer perforation","6","47","21","11926","64.404","244.415","1","43.0","1"
"ACTEMRA","Pulmonary fibrosis","4","49","14","11933","64.404","148.042","1","62.5","1"
"DOMPERIDONE MALEATE","Alopecia","12","12","93","11883","64.387","613.557","1","71.5","1"
"ASCORBIC ACID","Irritable bowel syndrome","4","20","31","11945","64.387","168.899","1","76.0","1"
"SULFASALAZINE","Osteoarthritis","13","70","29","11888","64.363","518.545","1","67.0","1"
"CORTISONE ACETATE","Migraine","10","20","62","11908","64.355","486.699","1","75.0","1"
"MYRBETRIQ","Infusion related reaction","9","22","54","11915","64.349","430.461","1","77.0","1"
"MYRBETRIQ","Sleep disorder","7","24","42","11927","64.349","323.049","1","84.0","1"
"MYRBETRIQ","Stomatitis","7","24","42","11927","64.349","323.049","1","77.0","1"
"CERTOLIZUMAB PEGOL","Musculoskeletal pain","3","28","18","11951","64.349","110.741","1","67.0","1"
"TOCILIZUMAB","Injury","7","43","26","11924","64.346","296.457","1","56.0","1"
"FLUMETHASONE PIVALATE","Confusional state","13","9","110","11868","64.345","676.289","1","73.0","1"
"LEFLUNOMIDE","Blister","16","53","43","11888","64.34","684.804","1","71.5","1"
"DESOXIMETASONE","Confusional state","19","15","104","11862","64.297","957.919","1","67.0","1"
"INFLIXIMAB","Duodenal ulcer perforation","11","116","16","11857","64.273","369.85","1","70.0","1"
"PSEUDOEPHEDRINE HYDROCHLORIDE","Joint swelling","12","14","86","11888","64.261","606.308","1","71.5","1"
"ATOMOXETINE","Swelling","3","5","70","11922","64.243","124.312","1","89.0","1"
"FLUMETHASONE","Swelling","3","5","70","11922","64.243","124.312","1","89.0","1"
"ACITRETIN","Psoriasis","3","7","56","11934","64.232","122.874","1","58.0","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Abdominal discomfort","13","11","101","11875","64.228","668.207","1","73.0","1"
"PERIOGARD","Dyspepsia","6","10","70","11914","64.2","289.841","1","75.0","1"
"REMODULIN","Infusion site erythema","3","59","9","11929","64.183","96.463","1","4.0","0"
"NAPROXEN SODIUM","Rheumatoid arthritis","12","16","80","11892","64.136","599.268","1","68.5","1"
"ETANERCEPT","Anti-cyclic citrullinated peptide antibody positive","3","25","20","11952","64.136","111.989","1","48.0","1"
"PLAQUENIL","Rheumatic fever","3","32","16","11949","64.098","108.324","1","75.0","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Confusional state","14","10","109","11867","64.092","722.941","1","71.5","1"
"SULFAMETHOXAZOLE","Swelling","8","15","65","11912","64.091","390.283","1","59.0","1"
"BOTULINUM TOXIN TYPE A","Gastrointestinal disorder","7","10","77","11906","64.08","345.062","1","73.0","1"
"XYZAL","Upper respiratory tract infection","3","14","33","11950","64.08","118.121","1","28.0","1"
"FLUMETHASONE PIVALATE","Dyspepsia","8","14","68","11910","64.053","392.045","1","76.0","1"
"LEFLUNOMIDE","Night sweats","10","59","27","11904","64.042","409.025","1","71.5","1"
"HYDROCORTISONE","Wound","13","92","23","11872","64.031","476.938","1","66.0","1"
"NUCALA","Psoriatic arthropathy","9","32","41","11918","64.028","409.195","1","77.0","1"
"HYDROXYCHLOROQUINE","Irritable bowel syndrome","12","85","23","11880","64.023","449.671","1","74.0","1"
"CETIRIZINE HYDROCHLORIDE","Pericarditis","12","81","24","11883","64.016","456.187","1","66.5","1"
"CETIRIZINE HYDROCHLORIDE","Pulmonary fibrosis","6","87","12","11895","64.016","207.906","1","59.0","1"
"CETIRIZINE HYDROCHLORIDE","Autoimmune disorder","3","90","6","11901","64.016","85.401","1","70.0","1"
